Date,Price,Open,High,Low,Change %
26/05/2004,4438.30,4418.00,4460.60,4415.30,0.46
25/05/2004,4418.00,4428.90,4428.90,4396.60,-0.25
24/05/2004,4428.90,4431.40,4466.50,4422.80,-0.06
21/05/2004,4431.40,4428.70,4453.50,4414.40,0.06
20/05/2004,4428.70,4471.80,4471.80,4418.80,-0.96
19/05/2004,4471.80,4414.40,4471.80,4414.40,1.30
18/05/2004,4414.40,4403.00,4422.10,4403.00,0.26
17/05/2004,4403.00,4441.80,4441.80,4363.00,-0.87
14/05/2004,4441.80,4453.80,4453.80,4412.30,-0.27
13/05/2004,4453.80,4412.90,4454.10,4412.90,0.93
12/05/2004,4412.90,4454.70,4457.70,4410.00,-0.94
11/05/2004,4454.70,4395.20,4454.70,4395.20,1.35
10/05/2004,4395.20,4498.40,4498.40,4395.20,-2.29
07/05/2004,4498.40,4516.20,4531.20,4463.20,-0.39
06/05/2004,4516.20,4569.50,4571.10,4511.70,-1.17
05/05/2004,4569.50,4547.20,4573.70,4528.60,0.49
04/05/2004,4547.20,4489.70,4553.80,4489.70,1.28
30/04/2004,4489.70,4519.50,4529.00,4489.70,-0.66
29/04/2004,4519.50,4524.50,4540.80,4494.60,-0.11
28/04/2004,4524.50,4575.70,4584.50,4524.50,-1.12
27/04/2004,4575.70,4571.80,4582.30,4550.20,0.09
26/04/2004,4571.80,4570.00,4586.90,4566.30,0.04
23/04/2004,4570.00,4571.80,4601.60,4565.30,-0.04
22/04/2004,4571.80,4539.90,4575.60,4524.50,0.70
21/04/2004,4539.90,4569.00,4569.00,4527.20,-0.64
20/04/2004,4569.00,4546.20,4581.70,4546.20,0.50
19/04/2004,4546.20,4537.30,4548.20,4519.80,0.20
16/04/2004,4537.30,4505.50,4540.20,4505.10,0.71
15/04/2004,4505.50,4485.40,4512.10,4478.30,0.45
14/04/2004,4485.40,4515.80,4515.80,4456.20,-0.67
13/04/2004,4515.80,4489.70,4525.00,4489.70,0.58
08/04/2004,4489.70,4468.70,4504.70,4468.70,0.47
07/04/2004,4468.70,4472.80,4499.80,4468.70,-0.09
06/04/2004,4472.80,4480.70,4495.20,4462.00,-0.18
05/04/2004,4480.70,4465.60,4483.10,4451.40,0.34
02/04/2004,4465.60,4410.70,4471.30,4408.00,1.24
01/04/2004,4410.70,4385.70,4419.40,4385.10,0.57
31/03/2004,4385.70,4412.80,4427.20,4382.80,-0.61
30/03/2004,4412.80,4406.70,4415.90,4393.50,0.14
29/03/2004,4406.70,4357.50,4417.20,4357.50,1.13
26/03/2004,4357.50,4373.60,4386.90,4345.00,-0.37
25/03/2004,4373.60,4309.40,4373.60,4309.40,1.49
24/03/2004,4309.40,4318.50,4341.40,4291.30,-0.21
23/03/2004,4318.50,4333.80,4360.60,4318.50,-0.35
22/03/2004,4333.80,4417.70,4417.70,4319.50,-1.90
19/03/2004,4417.70,4397.90,4428.20,4397.90,0.45
18/03/2004,4397.90,4456.80,4460.00,4397.90,-1.32
17/03/2004,4456.80,4428.90,4463.00,4412.80,0.63
16/03/2004,4428.90,4412.90,4438.70,4394.60,0.36
15/03/2004,4412.90,4467.40,4471.20,4412.90,-1.22
12/03/2004,4467.40,4445.20,4468.40,4374.50,0.50
11/03/2004,4445.20,4545.30,4545.30,4429.20,-2.20
10/03/2004,4545.30,4542.00,4549.80,4520.60,0.07
09/03/2004,4542.00,4553.80,4553.80,4529.20,-0.26
08/03/2004,4553.80,4547.10,4562.00,4543.50,0.15
05/03/2004,4547.10,4559.10,4566.20,4521.50,-0.26
04/03/2004,4559.10,4525.10,4562.80,4524.70,0.75
03/03/2004,4525.10,4540.10,4540.10,4508.10,-0.33
02/03/2004,4540.10,4537.00,4559.20,4522.70,0.07
01/03/2004,4537.00,4492.20,4540.70,4492.20,1.00
27/02/2004,4492.20,4515.90,4556.90,4492.20,-0.52
26/02/2004,4515.90,4507.50,4526.90,4500.50,0.19
25/02/2004,4507.50,4496.80,4513.90,4478.70,0.24
24/02/2004,4496.80,4524.30,4537.50,4476.70,-0.61
